Date,Open,High,Low,Close,Adj Close,Volume,Dollar
07-11-2016,170.625046,170.793793,168.168793,168.750046,164.309479,3567287,66.46
08-11-2016,169.875046,170.96254,167.418793,169.406296,164.948471,3458119,66.46
09-11-2016,159.375046,168.918793,153.037537,167.58754,163.177597,5779369,66.46
10-11-2016,169.18129,169.27504,165.037537,166.856293,162.465576,4158188,66.46
11-11-2016,165.71254,166.55629,162.768784,165.881287,161.51622,5242814,66.46
15-11-2016,165.562546,169.27504,164.831284,167.981293,163.560974,18852867,66.46
16-11-2016,168.375046,170.437546,165.787537,166.987534,162.593353,4414553,66.46
17-11-2016,166.162537,166.856293,162.675034,164.40004,160.073959,5538209,66.46
18-11-2016,164.981293,165.750046,162.225037,163.93129,159.617523,2881553,66.46
21-11-2016,164.062546,166.406296,163.950043,165.675034,161.315384,4454788,66.46
22-11-2016,165.750046,169.875046,164.662537,168.90004,164.455551,2945769,66.46
23-11-2016,168.90004,169.443787,165.787537,168.33754,163.907822,3378401,66.46
24-11-2016,168.168793,170.58754,167.475037,169.031296,164.583359,3687100,66.46
25-11-2016,169.875046,175.125046,169.125046,174.281296,169.695206,3411295,66.46
28-11-2016,175.500046,175.500046,170.850037,172.725037,168.179871,3067759,66.46
29-11-2016,173.02504,174.937546,172.687546,174.43129,169.841248,1666836,66.46
30-11-2016,174.375046,176.606293,173.250046,174.468796,169.877747,5793854,66.46
01-12-2016,176.137543,176.606293,174.093796,175.612549,170.991425,1651063,66.46
02-12-2016,176.437546,176.625046,171.937546,172.65004,168.106857,2020634,66.46
05-12-2016,172.500046,172.500046,169.893799,171.24379,166.73761,1588058,66.46
06-12-2016,171.000046,173.568787,170.96254,171.675049,167.157516,1678892,66.46
07-12-2016,171.90004,172.406296,169.500046,170.006287,165.5327,1572455,66.46
08-12-2016,170.625046,172.293793,170.287537,171.975037,167.449631,2798215,66.46
09-12-2016,171.787537,172.950043,171.187546,171.787537,167.267044,2715135,66.46
12-12-2016,170.625046,170.96254,169.312546,170.081299,165.605713,1915666,66.46
13-12-2016,171.187546,174.018799,170.643799,173.906296,169.330048,3134524,66.46
14-12-2016,174.05629,175.631287,173.718796,174.862549,170.261139,2753953,66.46
15-12-2016,172.725037,176.96254,172.725037,174.787537,170.188126,2755655,66.46
16-12-2016,174.862549,176.30629,172.481293,173.812546,169.238785,4409425,66.46
19-12-2016,173.531296,174.937546,173.418793,173.831299,169.257019,2072276,66.46
20-12-2016,175.08754,176.21254,173.11879,174.99379,170.388916,2167156,66.46
21-12-2016,175.687546,176.437546,172.950043,173.418793,168.855377,2743311,66.46
22-12-2016,173.475037,174.825043,172.237549,173.137543,168.581543,2156308,66.46
23-12-2016,174.24379,174.375046,170.77504,172.031296,167.504395,1792562,66.46
